REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00103767	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montferrier-sur-Lez	Languedoc-Roussillon	34	Montferrier-sur-Lez	34169	Château		Propriété de la commune		Façades et toitures sur les jardins et sur la rue, y compris sur la courette intérieure, et celles de l'orangerie ; terrasses subsistantes avec leur décor, notamment l'escalier à balustres et les fontaines ; salle aux gypseries (cad. A 552) : inscription par arrêté du 16 octobre 1990	1990/10/16 : inscrit MH		17e siècle ; 18e siècle	
PA00103766	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Gabian	Languedoc-Roussillon	34	Gabian	34109	Ancienne résidence des Evêques de Béziers	Evêché (rue de l')	propriété d'une société privée		L'ancienne résidence, à l'exception des parties classées (cad. AC 390) : inscription par arrêté du 2 février 1990 - La grande salle avec son plafond peint, en totalité (cad. AC 390) : classement par arrêté du 2 novembre 1992, modifié par arrêté du 27 avril 2009	1990/02/02 : inscrit MH ; 1992/11/02 : classé MH ; 2009/04/27 : classé MH		2e quart 15e siècle	
PA00103765	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Balaruc-les-Bains	Languedoc-Roussillon	34	Balaruc-les-Bains	34023	Eglise Notre-Dame-d'Aix (ancienne)		Propriété d'une personne privée		Eglise Notre-Dame-d'Aix (ancienne) , sauf bâtiment accolé à l'Ouest (cad. AD 220, 252) : inscription par arrêté du 17 octobre 1989	1989/10/17 : inscrit MH		12e siècle	
PA00103764	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Arboras	Languedoc-Roussillon	34	Arboras	34011	Château		Propriété d'une personne privée		Ensemble des façades et des toitures (y compris les vestiges médiévaux) ; éléments de décor interieur : deux cheminées au trumeau de gypseries et au foyer de céramiques, sol armorié de la tour au premier étage du corps Ouest (cad. AB 115) : inscription par arrêté du 24 octobre 1990	1990/10/24 : inscrit MH		17e siècle	
PA00103763	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Laroque	Languedoc-Roussillon	34	Laroque	34128	Grotte de la Vache		propriété d'une personne privée		Grotte de la Vache (cad. C 330) : inscription par arrêté du 28 mai 1990	1990/05/28 : inscrit MH		Paléolithique	
PA00103762	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Viols-en-Laval	Languedoc-Roussillon	34	Viols-en-Laval	34342	Château de Cambous		Propriété d'une personne privée		Porte d'entrée sur façade Ouest ; double porte intérieure ; escalier, y compris la porte d'accès de la grande salle du premier étage ; grande salle avec sa cheminée et son plafond peint et la cheminée de la chambre voisine (cad. A 180) : classement par arrêté du 19 octobre 1983 ; Façades et toitures (cad. A 180) : inscription par arrêté du 19 octobre 1983	1983/10/19 : classé MH ; 1983/10/19 : inscrit MH		16e siècle ; 17e siècle	
PA00103761	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeveyrac	Languedoc-Roussillon	34	Villeveyrac	34341	Ancienne abbaye de Sainte-Marie de Valmagne		propriété d'une personne privée		Ensemble situé dans l'enclos abbatial : bâtiments de l'ancienne abbaye avec les murs de clôture, sols, terrasses, parc et jardins, à l'exclusion de l'intérieur du corps de bâtiment sud fermant la cour au sud et reliant les ailes est et ouest (cad. E 1 à 7, 9 ) : classement par arrêté du 3 octobre 1997	1997/10/03 : classé MH		12e siècle ; 13e siècle ; 15e siècle	
PA00103760	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villetelle	Languedoc-Roussillon	34	Villetelle	34340	Oppidum d'Ambrussum		propriété d'une personne privée		Oppidum d'Ambrussum (cad. A 408p) : classement par arrêté du 26 février 1974	1974/02/26 : classé MH		Gallo-romain ; Haut-Empire ; Bas-Empire	
PA00103759	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeneuvette	Languedoc-Roussillon	34	Villeneuvette	34338	Manufacture		Propriété d'une société privée		Porte d'entrée monumentale et vestiges de la fontaine : inscription par arrêté du 15 février 1944	1944/02/15 : inscrit MH		2e moitié 17e siècle	
PA00103758	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeneuve-lès-Maguelone	Languedoc-Roussillon	34	Villeneuve-lès-Maguelone	34337	Eglise Saint-Etienne		Propriété de la commune		Eglise Saint-Etienne : classement par liste de 1840	1840 : classé MH		12e siècle	
PA00103757	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeneuve-lès-Maguelone	Languedoc-Roussillon	34	Villeneuve-lès-Maguelone	34337	Cathédrale Saint-Pierre de Maguelonne (ancienne)		Propriété de la commune		Cathédrale Saint-Pierre de Maguelonne (ancienne) : classement par liste de 1840	1840 : classé MH		12e siècle ; 13e siècle	
PA00103756	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villeneuve-lès-Béziers	Languedoc-Roussillon	34	Villeneuve-lès-Béziers	34336	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 11 octobre 1930	1930/10/11 : inscrit MH		12e siècle ; 14e siècle	
PA00103755	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villemagne-l'Argentière	Languedoc-Roussillon	34	Villemagne-l'Argentière	34335	Ancienne abbaye Saint-Martin et Saint-Majan		propriété privée ; propriété de la commune		La tour du monastère ou tour de Mirande, avec son escalier (cad. C 1007p) : inscription par arrêté du 26 juin 1939 - L'ensemble des bâtiments anciens situés à l'intérieur de l'enclos abbatial (antérieurs au 19e siècle, à l'exclusion des adjonctions contemporaines des 19e et 20e siècles) , des jardins et des sols des parcelles correspondantes et des sols de la place Saint-Majan, de la place de l'Abbaye, de la rue de la Mirande et de la rue des Deux-Porches (correspondant à la partie disparue de l'église abbatiale) , en totalité (cad. C 143 à 156, 158 à 168, 1183, 1184, 1395, 1473, 1522, 1538 à 1544 ; non cadastré, domaine public) : inscription par arrêté du 31 juillet 2007	1939/06/26 : inscrit MH ; 2007/07/31 : inscrit MH		17e siècle	
PA00103754	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villemagne-l'Argentière	Languedoc-Roussillon	34	Villemagne-l'Argentière	34335	Pont du Diable		Propriété de la commune		Pont du Diable : inscription par arrêté du 27 mai 1936	1936/05/27 : inscrit MH			
PA00103753	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villemagne-l'Argentière	Languedoc-Roussillon	34	Villemagne-l'Argentière	34335	Hôtel des Monnaies		Propriété d'une personne privée		Hôtel des Monnaies : classement par arrêté du 17 janvier 1924	1924/01/17 : classé MH		12e siècle	
PA00103752	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villemagne-l'Argentière	Languedoc-Roussillon	34	Villemagne-l'Argentière	34335	Eglise paroissiale Saint-Majan		Propriété de la commune		Eglise paroissiale Saint-Majan : classement par arrêté du 16 mars 1921	1921/03/16 : classé MH		14e siècle	
PA00103751	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Villemagne-l'Argentière	Languedoc-Roussillon	34	Villemagne-l'Argentière	34335	Eglise Saint-Grégoire (ancienne)		Propriété de la commune		Eglise Saint-Grégoire (ancienne) : classement par arrêté du 12 juillet 1886	1886/07/12 : classé MH		4e quart 12e siècle ; 13e siècle ; 15e siècle	
PA00103750	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vic-la-Gardiole	Languedoc-Roussillon	34	Vic-la-Gardiole	34333	Eglise		Propriété de la commune		Eglise : classement par arrêté du 10 janvier 1921	1921/01/10 : classé MH		12e siècle	
PA00103749	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vias	Languedoc-Roussillon	34	Vias	34332	Maison Benezis	République (rue de la)	Propriété d'une personne privée		Parties anciennes de la façade sur la rue (porte de l'escalier, fenêtre du premier étage, écussons sculptés) ; tourelle d'escalier (cad. D 698) : inscription par arrêté du 30 juillet 1963	1963/07/30 : inscrit MH		4e quart 15e siècle ; 1er quart 16e siècle	
PA00103748	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vias	Languedoc-Roussillon	34	Vias	34332	Eglise Saint-Jean-Baptiste		propriété de la commune		Eglise : classement par arrêté du 13 décembre 1907	1907/12/13 : classé MH		14e siècle	
PA00103747	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vérargues	Languedoc-Roussillon	34	Vérargues	34330	Château de la Devèze		Propriété d'une société privée		Façades et toitures (y compris la terrasse avec son escalier) et le salon avec son décor de gypseries (cad. A 349) : inscription par arrêté du 13 novembre 1974	1974/11/13 : inscrit MH		18e siècle	
PA00103746	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vendres	Languedoc-Roussillon	34	Vendres	34329	Vestiges de la villa de Primuliac		Propriété d'une personne privée		Vestiges de la villa de Primuliac, dans le domaine du Nègre : classement par arrêté du 26 avril 1935	1935/04/26 : classé MH		Antiquité ; Gallo-romain	
PA00103745	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vendres	Languedoc-Roussillon	34	Vendres	34329	Château		Propriété d'une personne privée		Restes des remparts : inscription par arrêté du 28 mai 1926 ; Porte fortifiée : inscription par arrêté du 28 mai 1926	1926/05/28 : inscrit MH ; 1926/05/28 : inscrit MH		13e siècle	
PA00103744	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vendres	Languedoc-Roussillon	34	Vendres	34329	Aqueduc dit aqueduc romain		propriété de la commune		Les restes de l'aqueduc : inscription par arrêté du 28 mai 1926	1926/05/28 : inscrit MH		Gallo-romain (?) ; 17e siècle (?)	
PA00103743	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Vendémian	Languedoc-Roussillon	34	Vendémian	34328	Eglise paroissiale		Propriété de la commune		Tour-clocher (cad. E 741) : inscription par arrêté du 29 avril 1987	1987/04/29 : inscrit MH		12e siècle ; 13e siècle ; 4e quart 14e siècle ; 4e quart 16e siècle	
PA00103742	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Valros	Languedoc-Roussillon	34	Valros	34325	Eglise paroissiale Saint-Etienne		Propriété de la commune		Eglise paroissiale Saint-Etienne (cad. B 243) : inscription par arrêté du 5 juillet 1988	1988/07/05 : inscrit MH		14e siècle ; 1ère moitié 15e siècle	
PA00103741	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Valergues	Languedoc-Roussillon	34	Valergues	34321	Eglise		Propriété de la commune		Extérieur de l'abside et mur méridional de la nef (cad. A 99) : inscription par arrêté du 22 juillet 1963	1963/07/22 : inscrit MH		4e quart 11e siècle ; 12e siècle	
PA00103740	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Tourbes	Languedoc-Roussillon	34	Tourbes	34311	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 1er avril 1935	1935/04/01 : inscrit MH			
PA00103739	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Tourbes	Languedoc-Roussillon	34	Tourbes	34311	Château de Peyrat		Propriété d'une personne privée		Escalier du perron avec sa balustrade ; chapelle avec son décor (cad. AE 230) : classement par arrêté du 4 novembre 1983 ; Porche d'entrée ; façades et toitures du château ainsi que celles des bâtiments entourant la cour (cad. AE 230) : inscription par arrêté du 4 novembre 1983	1983/11/04 : classé MH ; 1983/11/04 : inscrit MH		16e siècle ; 17e siècle	
PA00103738	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Tour-sur-Orb	Languedoc-Roussillon	34	Tour-sur-Orb (La)	34312	Résidence des abbés de Joncels (ancienne)		Propriété d'une personne privée		Parties anciennes de la façade sur cour (porte avec blason sculpté, galerie à arcades) ; escalier à balustres rampants (cad. A 227, 231) : inscription par arrêté du 21 janvier 1964	1964/01/21 : inscrit MH		2e quart 17e siècle	
PA00103737	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Tour-sur-Orb	Languedoc-Roussillon	34	Tour-sur-Orb (La)	34312	Eglise de Saint-Xist et son cloître		Propriété de la commune ; Propriété d'une personne privée		Eglise ; façade et toiture des bâtiments bordant la cour intérieure avec leurs galeries (cad. AC 175 à 177) : inscription par arrêté du 27 décembre 1979	1979/12/27 : inscrit MH		12e siècle ; 4e quart 13e siècle ; 1er quart 14e siècle ; 16e siècle	
PA00103736	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Tour-sur-Orb	Languedoc-Roussillon	34	Tour-sur-Orb (La)	34312	Eglise de Boussagues		Propriété de la commune		Eglise de Boussagues (cad. AY 118) : inscription par arrêté du 6 janvier 1988	1988/01/06 : inscrit MH		4e quart 12e siècle ; 1er quart 16e siècle	
PA00103735	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sussargues	Languedoc-Roussillon	34	Sussargues	34307	Eglise		Propriété de la commune		Eglise (cad. A 53) : inscription par arrêté du 29 novembre 1977	1977/11/29 : inscrit MH		11e siècle ; 12e siècle ; 4e quart 17e siècle ; 19e siècle	
PA00103734	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Soumont	Languedoc-Roussillon	34	Soumont	34306	Eglise Sainte-Bandille		Propriété de la commune		Eglise Sainte-Bandille : inscription par arrêté du 23 décembre 1932	1932/12/23 : inscrit MH		12e siècle	
PA00103733	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Soumont	Languedoc-Roussillon	34	Soumont	34306	Dolmen dit de Coste Rouge		Propriété d'une personne privée		Dolmen dit de Coste Rouge (cad. A 520) : classement par liste de 1900	1900 : classé MH			
PA00103732	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Soubès	Languedoc-Roussillon	34	Soubès	34304	Château (ancien) ou donjon		Propriété d'une personne privée		Façades et toitures (cad. E 221, 561) : inscription par arrêté du 10 février 1988	1988/02/10 : inscrit MH		3e quart 12e siècle ; 13e siècle ; 14e siècle ; 15e siècle	
PA00103731	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sorbs	Languedoc-Roussillon	34	Sorbs	34303	Croix de carrefour		Propriété de la commune		Croix de carrefour : inscription par arrêté du 6 juin 1933	1933/06/06 : inscrit MH		1er quart 18e siècle	
PA00103730	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sorbs	Languedoc-Roussillon	34	Sorbs	34303	Château		Propriété d'une personne privée		Façades et toitures, extérieures et sur cour, ainsi que les galeries à balustrades et l'escalier intérieur à balustres (cad. AC 144) : inscription par arrêté du 6 mars 1986	1986/03/06 : inscrit MH		2e moitié 16e siècle ; 1er quart 17e siècle	
PA00103729	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Siran	Languedoc-Roussillon	34	Siran	34302	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 30 décembre 1925	1925/12/30 : inscrit MH		15e siècle	
PA00103728	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Siran	Languedoc-Roussillon	34	Siran	34302	Chapelle de Centheilles		Propriété d'une personne privée		Chapelle de Centheilles : classement par arrêté du 24 novembre 1954	1954/11/24 : classé MH		14e siècle ; 15e siècle	
PA00103727	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sète	Languedoc-Roussillon	34	Sète	34301	Tour dite Redoute du Castellas		Propriété d'une société privée		Tour dite Redoute du Castellas (cad. C 792) : inscription par arrêté du 6 novembre 1939	1939/11/06 : inscrit MH		4e quart 16e siècle	
PA00103726	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sète	Languedoc-Roussillon	34	Sète	34301	Eglise décanale Saint-Louis		Propriété de la commune		Eglise décanale Saint-Louis (cad. AO 311) : classement par arrêté du 9 mars 1989	1989/03/09 : classé MH	DAVILER Augustin Charles (maître de l'oeuvre)	1er quart 18e siècle ; 19e siècle	
PA00103725	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Servian	Languedoc-Roussillon	34	Servian	34300	Pont sur la Thongue	Sur l'ancienne R.N. 9	Propriété de l'état		Pont sur la Thongue, sur l'ancienne R.N. 9 (cad. NON CADASTRE ; DOMAINE PUBLIC) : inscription par arrêté du 21 février 1983	1983/02/21 : inscrit MH		4e quart 17e siècle ; 3e quart 18e siècle	
PA00103724	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Servian	Languedoc-Roussillon	34	Servian	34300	Eglise paroissiale		Propriété de la commune		Eglise paroissiale (cad. AB 302) : inscription par arrêté du 26 novembre 1986	1986/11/26 : inscrit MH		12e siècle ; 14e siècle ; 19e siècle	
PA00103723	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sérignan	Languedoc-Roussillon	34	Sérignan	34299	Eglise Notre-Dame de Grâce		propriété de la commune		Eglise : classement par arrêté du 16 septembre 1907	1907/09/16 : classé MH		14e siècle	
PA00103722	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sauteyrargues	Languedoc-Roussillon	34	Sauteyrargues	34297	Eglise d'Aleyrac		Propriété de la commune		Abside et arc triomphal qui la précède (cad. D 40) : inscription par arrêté du 5 décembre 1984	1984/12/05 : inscrit MH		12e siècle ; 13e siècle	
PA00103721	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Sauteyrargues	Languedoc-Roussillon	34	Sauteyrargues	34297	Eglise		Propriété de la commune		Eglise (cad. B 143) : inscription par arrêté du 27 août 1975	1975/08/27 : inscrit MH		12e siècle	
PA00103720	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saussines	Languedoc-Roussillon	34	Saussines	34296	Eglise		Propriété de la commune		Eglise (cad. A 332) : classement par arrêté du 12 avril 1963	1963/04/12 : classé MH		1er quart 12e siècle ; 19e siècle	
PA00103719	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Salvetat-sur-Agout	Languedoc-Roussillon	34	Salvetat-sur-Agout (La)	34293	Pont de Saint-Etienne		Propriété de la commune		Pont de Saint-Etienne, sur la Vèbre, sur l'ancienne R.D. 11 actuellement déclassée (cad. E) : inscription par arrêté du 31 janvier 1964	1964/01/31 : inscrit MH			
PA00103718	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; La Salvetat-sur-Agout	Languedoc-Roussillon	34	Salvetat-sur-Agout (La)	34293	Eglise Saint-Etienne-de-Cavall (ancienne)		Propriété de la commune		Eglise Saint-Etienne-de-Cavall (ancienne) , actuellement chapelle du cimetière (cad. AV 120) : inscription par arrêté du 29 novembre 1976	1976/11/29 : inscrit MH		4e quart 11e siècle ; 15e siècle ; 16e siècle ; 19e siècle	
PA00103717	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Vincent-d'Olargues	Languedoc-Roussillon	34	Saint-Vincent-d'Olargues	34291	Croix du cimetière (ancienne)				Croix du cimetière (ancienne) , en marbre, sous le porche de l'église : classement par arrêté du 30 septembre 1911	1911/09/30 : classé MH		4e quart 15e siècle	
PA00103716	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Vincent-de-Barbeyrargues	Languedoc-Roussillon	34	Saint-Vincent-de-Barbeyrargues	34290	Eglise paroissiale		Propriété de la commune		Eglise paroissiale (cad. A 494) : inscription par arrêté du 19 juin 1986	1986/06/19 : inscrit MH		11e siècle ; 12e siècle ; 1ère moitié 17e siècle	
PA00103715	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Thibéry	Languedoc-Roussillon	34	Saint-Thibéry	34289	Pont romain (restes)				Pont romain (restes) : classement par liste de 1862	1862 : classé MH		Antiquité ; Gallo-romain ; Moyen Age	
PA00103714	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Thibéry	Languedoc-Roussillon	34	Saint-Thibéry	34289	Eglise et tour		Propriété de la commune		Eglise : classement par arrêté du 14 avril 1923 ; Tour : classement par arrêté du 14 avril 1923	1923/04/14 : classé MH ; 1923/04/14 : classé MH		2e moitié 15e siècle ; 1ère moitié 16e siècle	
PA00103713	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Privat	Languedoc-Roussillon	34	Saint-Privat	34286	Ancien prieuré Saint-Michel de Grandmont		propriété d'une société privée ; propriété d'une personne privée		Les terrains entourant les bâtiments de l'ancien prieuré, et les plantations qui s'y trouvent (cad. E 110, 111, 114) : inscription par arrêté du 23 juin 1953 - L'ancien prieuré (cad. E 112, 113) : classement par arrêté du 26 octobre 1981	1953/06/23 : inscrit MH ; 1981/10/26 : classé MH		4e quart 12e siècle ; 13e siècle ; 19e siècle	
PA00103712	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Privat	Languedoc-Roussillon	34	Saint-Privat	34286	Eglise Notre-Dame-des-Salces		Propriété de la commune		Eglise, à l'exception de la nef classée : inscription par arrêté du 3 décembre 1937 ; Nef romane (cad. A 292) : classement par arrêté du 4 octobre 1962	1937/12/03 : inscrit MH ; 1962/10/04 : classé MH		4e quart 11e siècle ; 12e siècle ; 14e siècle ; 19e siècle	
PA00103711	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Privat	Languedoc-Roussillon	34	Saint-Privat	34286	Dolmen dit du Belvédère		Propriété d'une personne privée		Dolmen dit du Belvédère (cad. E 34) : classement par journal officiel du 18 avril 1914	1914/04/18 : classé MH			
PA00103710	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Thomières	Languedoc-Roussillon	34	Saint-Pons-de-Thomières	34284	Hôtel de ville		Propriété de la commune		Tour, dite du Comte Pons (cad. AC 550) : inscription par arrêté du 30 juillet 1963	1963/07/30 : inscrit MH		14e siècle	
PA00103709	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Thomières	Languedoc-Roussillon	34	Saint-Pons-de-Thomières	34284	Evéché (ancien)	Foiral (place du)	Propriété de la commune		Vestiges de l'enceinte : tour Saint-Benoit et passage voûté dit La Portenelle (cad. AC 528) : inscription par arrêté du 26 mars 1973	1973/03/26 : inscrit MH		14e siècle ; 15e siècle ; 1er quart 17e siècle	
PA00103708	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Thomières	Languedoc-Roussillon	34	Saint-Pons-de-Thomières	34284	Eglise Saint-Martin-du-Jaur (ancienne)	Foiral (place du)	Propriété d'une personne privée		Eglise Saint-Martin-du-Jaur (parties restantes de l'ancienne) (cad. AC 146, 147, 149, 153 à 156) : inscription par arrêté du 4 mai 1984	1984/05/04 : inscrit MH		12e siècle ; 15e siècle ; 1er quart 17e siècle	
PA00103707	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Thomières	Languedoc-Roussillon	34	Saint-Pons-de-Thomières	34284	Cathédrale (ancienne)		Propriété de la commune		Cathédrale (ancienne) : classement par liste de 1840	1840 : classé MH		2e moitié 12e siècle ; 17e siècle ; 18e siècle	
PA00103706	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Mauchiens	Languedoc-Roussillon	34	Saint-Pons-de-Mauchiens	34285	Moulin de Roquemengarde		Propriété d'une personne privée		Moulin de Roquemengarde composé de deux corps de bâtiments : inscription par arrêté du 3 avril 1935	1935/04/03 : inscrit MH		17e siècle	
PA00103705	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pons-de-Mauchiens	Languedoc-Roussillon	34	Saint-Pons-de-Mauchiens	34285	Maison, dite Maison des Consuls		Propriété d'une personne privée		Maison, dite Maison des Consuls, y compris son plafond peint (cad. AB 405 à 407) : classement par arrêté du 13 janvier 1978	1978/01/13 : classé MH		1er quart 13e siècle	
PA00103704	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Pargoire	Languedoc-Roussillon	34	Saint-Pargoire	34281	Eglise		Propriété de la commune		Eglise : classement par liste de 1862	1862 : classé MH		13e siècle ; 14e siècle	
PA00103703	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Mathieu-de-Tréviers	Languedoc-Roussillon	34	Saint-Mathieu-de-Tréviers	34276	Château du Lebous et son enceinte		Propriété d'une personne privée		Vestiges archéologiques du Château du Lebous et de son enceinte (cad. A 236) : classement par arrêté du 11 octobre 1965	1965/10/11 : classé MH		Chalcolithique	
PA00103702	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Martin-de-Londres	Languedoc-Roussillon	34	Saint-Martin-de-Londres	34274	Immeuble	Eglise (place de l')	Propriété d'une personne privée		Porte et fenêtre du 17e siècle : inscription par arrêté du 20 mars 1936	1936/03/20 : inscrit MH		17e siècle	
PA00103701	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Martin-de-Londres	Languedoc-Roussillon	34	Saint-Martin-de-Londres	34274	Eglise		Propriété de la commune		Abside, transepts, coupole, porche et deux travées de nef : classement par arrêté du 16 février 1900	1900/02/16 : classé MH		12e siècle	
PA00103700	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Martin-de-Londres	Languedoc-Roussillon	34	Saint-Martin-de-Londres	34274	Croix en pierre		Propriété de la commune		Croix en pierre, derrière l'abside de l'église : inscription par arrêté du 8 octobre 1935	1935/10/08 : inscrit MH		2e quart 17e siècle	
PA00103699	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Julien	Languedoc-Roussillon	34	Saint-Julien	34271	Eglise		Propriété de la commune		Abside : inscription par arrêté du 12 février 1951	1951/02/12 : inscrit MH		11e siècle	
PA00103698	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Jean-de-la-Blaquière	Languedoc-Roussillon	34	Saint-Jean-de-la-Blaquière	34268	Eglise (à l'exception des chapelles latérales)		Propriété de la commune		Eglise (à l'exception des chapelles latérales) : inscription par arrêté du 12 février 1951	1951/02/12 : inscrit MH		1ère moitié 12e siècle	
PA00103697	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Jean-de-Fos	Languedoc-Roussillon	34	Saint-Jean-de-Fos	34267	Pont sur l'Hérault, dit Pont du diable		Propriété de la commune		Voir commune de : Aniane	1935/04/05 : inscrit MH		11e siècle ; 13e siècle	
PA00103696	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Jean-de-Cuculles	Languedoc-Roussillon	34	Saint-Jean-de-Cuculles	34266	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 21 décembre 1925	1925/12/21 : inscrit MH		12e siècle	
PA00103695	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Jean-de-Buèges	Languedoc-Roussillon	34	Saint-Jean-de-Buèges	34264	Eglise paroissiale		Propriété de la commune		Eglise paroissiale (cad. C 25) : classement par arrêté du 28 décembre 1984	1984/12/28 : classé MH		4e quart 11e siècle ; 1er quart 12e siècle ; 17e siècle ; 18e siècle	
PA00103694	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Guilhem-le-Désert	Languedoc-Roussillon	34	Saint-Guilhem-le-Désert	34261	Tour dite des Prisons		Propriété d'une personne privée ; Propriété de la commune		Tour dite des Prisons (cad. AB 201) : inscription par arrêté du 6 mai 1965	1965/05/06 : inscrit MH		12e siècle	
PA00103693	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Guilhem-le-Désert	Languedoc-Roussillon	34	Saint-Guilhem-le-Désert	34261	Moulin de l'abbaye (ancien)		Propriété d'une association		Moulin de l'abbaye (ancien) , sur les bords de l'Hérault : inscription par arrêté du 9 juillet 1926	1926/07/09 : inscrit MH		12e siècle	
PA00103692	Recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Saint-Guilhem-le-Désert	Languedoc-Roussillon	34	Saint-Guilhem-le-Désert	34261	Maison du 12e siècle, près de l'église		Propriété d'une personne privée		Façade : inscription par arrêté du 28 décembre 1938	1938/12/28 : inscrit MH		12e siècle	
